Music_ID,Name of Work,Composer,Period
0,"Ach bleib bei uns, Herr Jesu Christ, BWV 649","Bach, Johann Sebastian",Baroque
1,"Ach Gott, wie manches Herzeleid, BWV 3","Bach, Johann Sebastian",Baroque
2,"Ach, dass nicht die letzte Stunde, BWV 439","Bach, Johann Sebastian",Baroque
3,"Air in F major, BWV Anh.131","Bach, Johann Sebastian",Baroque
4,"Alla breve in D major, BWV 589","Bach, Johann Sebastian",Baroque
5,"Also hat Gott die Welt geliebt, BWV 68","Bach, Johann Sebastian",Baroque
6,"Am Abend aber desselbigen Sabbats, BWV 42","Bach, Johann Sebastian",Baroque
7,"Aria variata in A minor, BWV 989","Bach, Johann Sebastian",Baroque
8,"Brandenburg Concerto No.2 in F major, BWV 1047","Bach, Johann Sebastian",Baroque
9,"Brandenburg Concerto No.3 in G major, BWV 1048","Bach, Johann Sebastian",Baroque
10,"Brandenburg Concerto No.4 in G major, BWV 1049","Bach, Johann Sebastian",Baroque
11,"Brandenburg Concerto No.5 in D major, BWV 1050","Bach, Johann Sebastian",Baroque
12,"Brandenburg Concerto No.6 in B-flat major, BWV 1051","Bach, Johann Sebastian",Baroque
13,"Brich entzwei, mein armes Herze, BWV 444","Bach, Johann Sebastian",Baroque
14,"Capriccio in B-flat major, BWV 992","Bach, Johann Sebastian",Baroque
15,"Capriccio in E major, BWV 993","Bach, Johann Sebastian",Baroque
16,"Cello Suite No.1 in G major, BWV 1007","Bach, Johann Sebastian",Baroque
17,"Cello Suite No.3 in C major, BWV 1009","Bach, Johann Sebastian",Baroque
18,"Cello Suite No.5 in C minor, BWV 1011","Bach, Johann Sebastian",Baroque
19,"Cello Suite No.6 in D major, BWV 1012","Bach, Johann Sebastian",Baroque
20,"Chromatic Fantasia and Fugue, BWV 903","Bach, Johann Sebastian",Baroque
21,"Concerto for 2 Violins in D minor, BWV 1043","Bach, Johann Sebastian",Baroque
22,"Concerto for 3 Harpsichords in D minor, BWV 1063","Bach, Johann Sebastian",Baroque
23,"Du sollt Gott, deinen Herren, lieben, BWV 77","Bach, Johann Sebastian",Baroque
24,"Duetto No.1 in E minor, BWV 802","Bach, Johann Sebastian",Baroque
25,"Duetto No.2 in F major, BWV 803","Bach, Johann Sebastian",Baroque
26,"Duetto No.3 in G major, BWV 804","Bach, Johann Sebastian",Baroque
27,"Duetto No.4 in A minor, BWV 805","Bach, Johann Sebastian",Baroque
28,"Ein Herz, das seinen Jesum lebend weiß, BWV 134","Bach, Johann Sebastian",Baroque
29,"English Suite No.1 in A major, BWV 806","Bach, Johann Sebastian",Baroque
30,"English Suite No.2 in A minor, BWV 807","Bach, Johann Sebastian",Baroque
31,"English Suite No.3 in G minor, BWV 808","Bach, Johann Sebastian",Baroque
